gene_symbol,open_targets_score,open_targets_score_weighted,clinvar_score,clinvar_score_weighted,pathway_centrality_score,pathway_centrality_score_weighted,centrality_score,centrality_score_weighted,literature_score,literature_score_weighted,citation_quality_score,citation_quality_score_weighted,druggability_score,druggability_score_weighted,contradiction_penalty,contradiction_penalty_weighted,total_score,rank
TUBA4A,0.7770609157406572,0.16892628603057766,1.0,0.1739130434782609,1.0,0.13043478260869565,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.6520537142460215,0.05670032297791493,1.0,0.08695652173913045,0.6,0.026086956521739132,0.7252313520914967,1
ERBB4,0.6618060975031084,0.1438708907615453,1.0,0.1739130434782609,0.5263157894736842,0.06864988558352403,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.6554552779604779,0.05699611112699808,1.0,0.08695652173913045,0.847457627118644,0.036845983787767135,0.6279278206803478,2
SOD1,0.8701480663155676,0.18916262311207993,1.0,0.1739130434782609,0.07894736842105263,0.010297482837528604,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.4141706292157502,0.03601483732310872,1.0,0.08695652173913045,0.6,0.026086956521739132,0.6050401606640218,3
TBK1,0.8079405505675022,0.17563925012337006,1.0,0.1739130434782609,0.5,0.06521739130434782,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.6653143361239658,0.057853420532518775,0.0,0.0,0.86,0.037391304347826095,0.5696191528693275,4
VCP,0.7670680808271994,0.16675393061460858,1.0,0.1739130434782609,0.5526315789473685,0.07208237986270023,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.5760136382700942,0.05008814245826907,0.0,0.0,0.97,0.04217391304347826,0.5550509351490166,5
SIGMAR1,0.7050607861911166,0.15327408395459058,1.0,0.1739130434782609,0.02631578947368421,0.003432494279176201,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.47072791476485404,0.040932862153465574,1.0,0.08695652173913045,0.88,0.0382608695652174,0.5546354878180625,6
SQSTM1,0.809360678421687,0.17594797356993197,1.0,0.1739130434782609,0.2631578947368421,0.034324942791762014,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.6363893418706238,0.055338203640923816,0.0,0.0,0.94,0.04086956521739131,0.5334372069591395,7
OPTN,0.7705610791990739,0.1675132780867552,1.0,0.1739130434782609,0.2631578947368421,0.034324942791762014,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.46617236420559743,0.04053672732222587,0.0,0.0,0.84,0.036521739130434785,0.5145488612442214,8
PFN1,0.7379440663997104,0.16042262313037184,1.0,0.1739130434782609,0.10526315789473684,0.013729977116704805,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.49782478781141964,0.04328911198360171,0.0,0.0,0.5384615384615384,0.023411371237458196,0.5023307362501372,9
FUS,0.8117088043931799,0.17645843573764783,1.0,0.1739130434782609,0.10526315789473684,0.013729977116704805,0.03939393939393939,0.005138339920948616,1.0,0.13043478260869565,0.43046488969545255,0.03743172953873501,0.0,0.0,0.91,0.03956521739130436,0.49754109100968846,10
ANG,0.7865457274017922,0.17098820160908526,1.0,0.1739130434782609,0.05263157894736842,0.006864988558352402,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.4865699906045029,0.042310433965608955,0.0,0.0,0.7592592592592593,0.03301127214170693,0.4954527472482566,11
HNRNPA1,0.6405667692106644,0.13925364548057922,1.0,0.1739130434782609,0.18421052631578946,0.02402745995423341,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.6157484661218,0.05354334488015653,0.0,0.0,0.7,0.030434782608695653,0.4950853198801866,12
CYLD,0.6818540157543058,0.1482291338596317,1.0,0.1739130434782609,0.15789473684210525,0.020594965675057208,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.599696727204011,0.05214754149600097,0.0,0.0,0.9325842696629213,0.040547142159257456,0.4887248941283494,13
UBQLN2,0.7942015735994536,0.17265251599988124,1.0,0.1739130434782609,0.02631578947368421,0.003432494279176201,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.5023275138995952,0.0436806533825735,0.0,0.0,0.93,0.04043478260869566,0.4876312763098523,14
FIG4,0.7521043031333116,0.1635009354637634,1.0,0.1739130434782609,0.07894736842105263,0.010297482837528604,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.3709592304017055,0.032257324382757004,0.0,0.0,0.65,0.028260869565217395,0.48649052529274467,15
KIF5A,0.7083132413472336,0.15398113942331168,1.0,0.1739130434782609,0.13157894736842105,0.017162471395881007,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.30248992821934084,0.02630347201907312,0.0,0.0,0.525,0.022826086956521743,0.4829213911386611,16
CCNF,0.7604554076163181,0.16531639296006917,1.0,0.1739130434782609,0.05263157894736842,0.006864988558352402,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.38967960750826974,0.03388518326158868,0.0,0.0,0.7333333333333333,0.03188405797101449,0.48248290206591266,17
SPG11,0.7492481471626722,0.16288003199188528,1.0,0.1739130434782609,0.0,0.0,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.2667775823989489,0.023198050643386862,0.0,0.0,0.38,0.016521739130434785,0.47785673876175433,18
ANXA11,0.7744339550040161,0.16835520760956874,1.0,0.1739130434782609,0.0,0.0,0.015151515151515152,0.001976284584980237,1.0,0.13043478260869565,0.35379157087876467,0.030764484424240412,0.0,0.0,0.875,0.03804347826086957,0.4674003244448764,19
TARDBP,0.8196962822149189,0.17819484395976498,1.0,0.1739130434782609,0.0,0.0,0.045454545454545456,0.005928853754940711,1.0,0.13043478260869565,0.20701248012190965,0.018001085227992146,0.0,0.0,0.96,0.04173913043478261,0.4647334785948718,20
NEK1,0.5810999553200537,0.12632607724348993,1.0,0.1739130434782609,0.02631578947368421,0.003432494279176201,0.01818181818181818,0.0023715415019762843,1.0,0.13043478260869565,0.5719314809351362,0.04973317225522925,0.0,0.0,0.5074626865671642,0.022063595068137577,0.46414751629869055,21
ALS2,0.7415031239483322,0.1611963312931157,1.0,0.1739130434782609,0.05263157894736842,0.006864988558352402,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.25045216038643814,0.02177844872925549,0.0,0.0,0.88,0.0382608695652174,0.4598792942724232,22
C9orf72,0.6103425432677596,0.13268316157994775,1.0,0.1739130434782609,0.0,0.0,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.5102709140989646,0.04437138383469258,0.0,0.0,0.9605263157894737,0.04176201372997712,0.44398818385857625,23
SPTLC1,0.5128628491479429,0.11149192372781368,1.0,0.1739130434782609,0.02631578947368421,0.003432494279176201,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.4341944339075243,0.03775603773108908,0.0,0.0,0.5263157894736842,0.022883295194508012,0.4380975558004879,24
CHMP2B,0.7726650520331655,0.16797066348547077,0.5,0.08695652173913045,0.23684210526315788,0.03089244851258581,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.5643136315577366,0.04907075057023797,0.0,0.0,0.97,0.04217391304347826,0.42749907995959885,25
DCTN1,0.7288264852122261,0.15844054026352744,0.5,0.08695652173913045,0.34210526315789475,0.04462242562929062,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.40158332178853173,0.03492028885117668,0.0,0.0,0.99,0.04304347826086957,0.4162836500009118,26
PRPH,0.46653709370685603,0.1014211073275774,1.0,0.1739130434782609,0.0,0.0,0.00909090909090909,0.0011857707509881422,1.0,0.13043478260869565,0.3524336798484613,0.030646406943344466,0.0,0.0,0.6666666666666666,0.028985507246376815,0.4086156038624897,27
SETX,0.7941930260812039,0.17265065784374,0.5,0.08695652173913045,0.0,0.0,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.376304747767889,0.03272215197981644,0.0,0.0,0.98,0.04260869565217392,0.38410798768916904,28
ATXN2,0.44444243903689734,0.0966179215297603,0.5,0.08695652173913045,0.0,0.0,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.5772671815801538,0.0501971462243612,0.0,0.0,0.3333333333333333,0.014492753623188408,0.3540614445657157,29
UBQLN4,0.4628656883142375,0.10062297572048642,0.0,0.0,0.0,0.0,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.8308231376628475,0.07224549023155197,0.0,0.0,0.0,0.0,0.30725581773069455,30
VAPB,0.7282213787361973,0.1583089953774342,0.0,0.0,0.15789473684210525,0.020594965675057208,0.03939393939393939,0.005138339920948616,1.0,0.13043478260869565,0.3424996868253167,0.029782581463071018,0.0,0.0,1.0,0.04347826086956522,0.3007814041756414,31
TIA1,0.6625203683612911,0.1440261670350633,0.0,0.0,0.02631578947368421,0.003432494279176201,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.4664616243800318,0.040561880380872335,0.0,0.0,0.7,0.030434782608695653,0.29197311086507227,32
MATR3,0.7470084204341542,0.16239313487699006,0.0,0.0,0.0,0.0,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.4090782949227973,0.035572025645460637,0.0,0.0,1.0,0.04347826086956522,0.2892695083485376,33
LRP12,0.4330757269409485,0.09414689716107577,0.5,0.08695652173913045,0.02631578947368421,0.003432494279176201,0.0030303030303030303,0.0003952569169960474,0.5,0.06521739130434782,0.5900709063276802,0.05131051359371133,0.0,0.0,0.3333333333333333,0.014492753623188408,0.28696632137124917,34
DAO,0.4722124357810391,0.10265487734370417,0.0,0.0,0.05263157894736842,0.006864988558352402,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.454191345168163,0.039494899579840266,0.0,0.0,0.75,0.03260869565217392,0.25079342160837903,35
FGGY,0.3721155831321218,0.08089469198524388,0.0,0.0,0.0,0.0,0.012121212121212121,0.0015810276679841897,0.9,0.11739130434782609,0.44439622907116466,0.038643150354014326,0.0,0.0,0.0,0.0,0.2385101743550685,36
TMEM106B,0.3695798546847018,0.08034344667058735,0.0,0.0,0.0,0.0,0.01818181818181818,0.0023715415019762843,1.0,0.13043478260869565,0.1648134196731462,0.014331601710708367,0.0,0.0,0.0,0.0,0.22748137249196765,37
NEFH,0.4916767397455144,0.10688624777076401,0.0,0.0,0.0,0.0,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.2159273459300916,0.01877629095044275,0.0,0.0,0.7777777777777778,0.03381642512077295,0.22662872229608597,38
TRPM7,0.41707895580881693,0.09066933821930803,0.0,0.0,0.02631578947368421,0.003432494279176201,0.030303030303030304,0.003952569169960474,1.0,0.13043478260869565,0.43362473492880527,0.03770649868946133,0.0,0.0,0.95,0.04130434782608696,0.22489133514051476,39
CHCHD10,0.4088214044942417,0.08887421836831343,0.0,0.0,0.02631578947368421,0.003432494279176201,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.23075905904153055,0.020066005134046137,0.0,0.0,0.98,0.04260869565217392,0.204546630825014,40
ELP3,0.21600600624210814,0.046957827443936555,0.0,0.0,0.02631578947368421,0.003432494279176201,0.03333333333333333,0.004347826086956522,1.0,0.13043478260869565,0.6128401104699869,0.05329044438869452,0.0,0.0,1.0,0.04347826086956522,0.19498511393789422,41
